Marca_Prueba,Modelo_Prueba,INTERRUPTED,_ALARM,AUTOMATIC,FALSE,maquina_alarmada,3,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,INTERRUPTED,0,FALSE,maquina_detenida_en_ciclo,3,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,ACTIVE,_ARM_POSITION_MALF.,FALSE,maquina_detenida_correctivo_ATC,3,-10
Marca_Prueba,Modelo_Prueba,MANUAL_DATA_INPUT,READY,0,FALSE,ajuste_de_programa,3,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,ACTIVE,MAGAZINE_DOOR_OPENED,FALSE,maquina_detenida_puerta_de_atc_abierta,3,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,FEED_HOLD,0,FALSE,maquina_detenida,3,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,STOPPED,0,FALSE,maquina_detenida,3,-10
Marca_Prueba,Modelo_Prueba,MANUAL,STOPPED,0,FALSE,maquina_detenida,3,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,READY,0,FALSE,maquina_en_espera_lista,3,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,0,0,FALSE,trabajando,1,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,0,0,FALSE,ciclo_terminado,1,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,ACTIVE,0,FALSE,trabajando,1,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,ACTIVE,0,FALSE,ciclo_terminado,1,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,ACTIVE,_ALARM,FALSE,trabajando,1,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,ACTIVE,_ALARM,FALSE,ciclo_terminado,1,-10
Marca_Prueba,Modelo_Prueba,AUTOMATIC,ACTIVE,_1_CYCLE_STOP,FALSE,maquina_detenida_en_ciclo,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL,READY,0,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL,READY,0,TRUE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,,0,0,FALSE,indefinido,3,-10
